accession,source_database,title,organism,disease,mutation,cell_type,assay_type,platform,sample_count,control_count,case_count,processed_matrix_available,raw_fastq_available,metadata_available,publication,publication_year,download_url,keep_status,priority_score,reason_for_keep_or_exclude,notes
GSE147694,NCBI GEO/GDS,Human-iPSC-Derived Cardiac Stromal Cells Enhance Maturation in 3D Cardiac Microtissues and Reveal Non-cardiomyocyte Contributions to Heart Disease,Homo sapiens,mitochondrial cardiomyopathy,,human iPSC-derived cardiomyocytes,Expression profiling by high throughput sequencing,GPL20301,4,,,yes,no,yes,PMID:32459996,2020,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE147nnn/GSE147694/,keep_candidate,4,uses iPSC-related model; cardiac/cardiomyopathy relevance; processed supplementary table likely available,"Entrez UID: 200147694; matched_queries: mitochondrial cardiomyopathy iPSC cardiomyocyte; suppfile: MTX, TSV; bioproject: PRJNA616124; screened_with_gds_summary; Step 4 dataset re-check candidate; not selected as primary without further confirmation"
GSE132146,NCBI GEO/GDS,Single cell RNA-seq analysis reveals the crucial role of Collagen triple helix repeat containing 1 (Cthrc1) cardiac fibroblasts for ventricular remodeling after myocardial infarction,Homo sapiens; Sus scrofa; Mus musculus,heart failure,,human cardiomyocytes,Expression profiling by high throughput sequencing; Genome binding/occupancy profiling by high throughput sequencing,18573;20983;19057,202,38,30,unknown,no,yes,PMID:32972203; PMID:41526391,2020,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE132nnn/GSE132146/,keep_candidate,4,cardiac/cardiomyopathy relevance; case/control labels detected in sample titles,"Entrez UID: 200132146; matched_queries: dilated cardiomyopathy single nucleus RNA-seq human heart | heart failure cardiomyocyte single nucleus RNA-seq; suppfile: BW, H5; bioproject: PRJNA546019; case/control counts are heuristic from GEO sample titles; screened_with_gds_summary"
GSE116464,NCBI GEO/GDS,Human-iPSC-Derived Cardiac Stromal Cells Enhance Maturation in 3D Cardiac Microtissues and Reveal Non-cardiomyocyte Contributions to Heart Disease,Homo sapiens,mitochondrial cardiomyopathy,,human iPSC-derived cardiomyocytes,Expression profiling by high throughput sequencing,GPL20301,33,,,yes,no,yes,PMID:32459996,2020,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE116nnn/GSE116464/,keep_candidate,4,uses iPSC-related model; cardiac/cardiomyopathy relevance; processed supplementary table likely available,Entrez UID: 200116464; matched_queries: mitochondrial cardiomyopathy iPSC cardiomyocyte; suppfile: TXT; bioproject: PRJNA478596; screened_with_gds_summary; Step 4 dataset re-check candidate; not selected as primary without further confirmation
GSE43698,NCBI GEO/GDS,Muscle from patients with mitochondrial myopathies and congenital muscular dystrophies versus normal human muscle,Homo sapiens,MERRF syndrome,MT-TK,,Expression profiling by array,GPL13607,29,,,yes,no,yes,PMID:24484525,2015,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE43nnn/GSE43698/,maybe_secondary,3,contains MERRF/m.8344A>G/MT-TK terms; processed supplementary table likely available,Entrez UID: 200043698; matched_queries: MT-TK; suppfile: TXT; bioproject: PRJNA187082; screened_with_gds_summary; Step 4 dataset re-check candidate; not selected as primary without further confirmation
GSE142745,NCBI GEO/GDS,High-throughput single-cell mitochondrial DNA genotyping reveals properties of clonal variation in human contexts,Homo sapiens,MERRF syndrome,m.8344A>G,,Genome binding/occupancy profiling by high throughput sequencing; Expression profiling by high throughput sequencing,16791;21697,124,,,yes,no,yes,PMID:32788668,2020,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE142nnn/GSE142745/,maybe_secondary,3,contains MERRF/m.8344A>G/MT-TK terms; processed supplementary table likely available,"Entrez UID: 200142745; matched_queries: m.8344A>G; suppfile: MTX, TSV, TXT; bioproject: PRJNA598170; screened_with_gds_summary; Step 4 dataset re-check candidate; not selected as primary without further confirmation"
GSE142744,NCBI GEO/GDS,High-throughput single-cell mitochondrial DNA genotyping reveals properties of clonal variation in human contexts [CLL-scRNA],Homo sapiens,MERRF syndrome,m.8344A>G,,Expression profiling by high throughput sequencing,GPL16791,4,,,yes,no,yes,,2020,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE142nnn/GSE142744/,maybe_secondary,3,contains MERRF/m.8344A>G/MT-TK terms; processed supplementary table likely available,"Entrez UID: 200142744; matched_queries: m.8344A>G; suppfile: MTX, TSV; bioproject: PRJNA598177; screened_with_gds_summary; Step 4 dataset re-check candidate; not selected as primary without further confirmation"
GSE106601,NCBI GEO/GDS,tRNA modification landscape selectively controls mitochondrial translation efficiency in MERRF,Homo sapiens,MERRF syndrome,m.8344A>G,,Expression profiling by high throughput sequencing; Other,GPL15433,16,,,yes,no,yes,PMID:30262910,2018,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE106nnn/GSE106601/,maybe_secondary,3,contains MERRF/m.8344A>G/MT-TK terms; processed supplementary table likely available,"Entrez UID: 200106601; matched_queries: MERRF A8344G expression; suppfile: TXT, XLSX; bioproject: PRJNA417375; screened_with_gds_summary; Step 4 re-check: mixed skeletal tissue and immortalized cell-line samples; not iPSC-cardiomyocyte"
GSE77784,NCBI GEO/GDS,MOF acetyl transferase regulates transcription and respiration in mitochondria,Mus musculus; Homo sapiens,cardiomyopathy,,human cardiomyocytes,Expression profiling by high throughput sequencing,17021;16791,19,,,yes,no,yes,PMID:27768893,2016,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE77nnn/GSE77784/,maybe_secondary,2,cardiac/cardiomyopathy relevance; processed supplementary table likely available,Entrez UID: 200077784; matched_queries: mitochondrial dysfunction cardiomyocyte RNA-seq; suppfile: TSV; bioproject: PRJNA311550; screened_with_gds_summary
GSE61390,NCBI GEO/GDS,Genetic Correction and Metabolic Rescue of Pluripotent Cells from Patients with mtDNA,Homo sapiens,MELAS / m.3243A>G mitochondrial disease,m.3243A>G,human iPSC-derived cells,Expression profiling by high throughput sequencing; Third-party reanalysis,11154;16791,43,,,yes,no,yes,PMID:26176921,2015,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE61nnn/GSE61390/,maybe_secondary,2,uses iPSC-related model; processed supplementary table likely available,Entrez UID: 200061390; matched_queries: mitochondrial disease iPSC; suppfile: TXT; bioproject: PRJNA260928; screened_with_gds_summary; Step 4 dataset re-check candidate; not selected as primary without further confirmation
GSE53141,NCBI GEO/GDS,Epigenetic and transcriptional aberrations in human pluripotent stem cells reflect differences in reprogramming mechanisms [SNP array],Homo sapiens,mitochondrial disease,,human iPSC-derived cells,SNP genotyping by SNP array,GPL14157,21,,,yes,no,yes,PMID:25008523,2014,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE53nnn/GSE53141/,maybe_secondary,2,uses iPSC-related model; processed supplementary table likely available,Entrez UID: 200053141; matched_queries: mitochondrial disorder iPSC transcriptome; suppfile: TXT; bioproject: PRJNA230975; screened_with_gds_summary
GSE333349,NCBI GEO/GDS,Beyond Glycogen Storage: AMPKγ2 Regulates Cardiac Hypertrophy and Electrophysiology via Myosin Interaction,Danio rerio,cardiomyopathy,,human cardiomyocytes,Expression profiling by high throughput sequencing,GPL23085,12,,,yes,yes,yes,,2026,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE333nnn/GSE333349/,maybe_secondary,2,cardiac/cardiomyopathy relevance; processed supplementary table likely available,Entrez UID: 200333349; matched_queries: human cardiomyopathy cardiomyocyte RNA-seq; suppfile: TSV; bioproject: PRJNA1470713; screened_with_gds_summary
GSE331321,NCBI GEO/GDS,Engineered heart tissues facilitate functional characterization of noncoding variants implicated in Hypertrophic and Dilated Cardiomyopathy,Homo sapiens,heart failure,,human iPSC-derived cardiomyocytes,Expression profiling by high throughput sequencing,GPL34281,2,,,yes,no,yes,,2026,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE331nnn/GSE331321/,maybe_secondary,2,cardiac/cardiomyopathy relevance; processed supplementary table likely available,"Entrez UID: 200331321; matched_queries: heart failure cardiomyocyte single nucleus RNA-seq; suppfile: MTX, TSV; bioproject: PRJNA1467678; screened_with_gds_summary; Step 4 dataset re-check candidate; not selected as primary without further confirmation"
GSE325239,NCBI GEO/GDS,RNA-seq profiling of P2 rat neonatal atrial myocytes transfected with non-targetting (control) and Pitx2c (KD) siRNA.,Rattus norvegicus,mitochondrial dysfunction / OXPHOS,,cardiomyocytes,Expression profiling by high throughput sequencing,GPL34877,8,,,yes,yes,yes,,2026,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE325nnn/GSE325239/,maybe_secondary,2,cardiac/cardiomyopathy relevance; processed supplementary table likely available,Entrez UID: 200325239; matched_queries: mitochondrial dysfunction cardiomyocyte RNA-seq; suppfile: TXT; bioproject: PRJNA1439247; screened_with_gds_summary
GSE319887,NCBI GEO/GDS,Friedreich’s ataxia transcriptomic dysregulation and identification of cell type-specific biomarkers: A systematic review and meta-analysis,Homo sapiens,Friedreich ataxia / frataxin-related mitochondrial disease,FXN / frataxin,human iPSC-derived cardiomyocytes,Expression profiling by high throughput sequencing,GPL34284,43,,,yes,yes,yes,,2026,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE319nnn/GSE319887/,maybe_secondary,2,uses iPSC-related model; processed supplementary table likely available,Entrez UID: 200319887; matched_queries: mitochondrial disease iPSC RNA-seq; suppfile: CSV; bioproject: PRJNA1425480; screened_with_gds_summary
GSE315294,NCBI GEO/GDS,Chrysin alleviates cardiomyocyte ferroptosis of diabetic cardiomyopathy by modulating SCD1,Homo sapiens,cardiomyopathy,,human cardiomyocytes,Expression profiling by high throughput sequencing,GPL34284,9,,,yes,no,yes,,2026,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE315nnn/GSE315294/,maybe_secondary,2,cardiac/cardiomyopathy relevance; processed supplementary table likely available,Entrez UID: 200315294; matched_queries: human cardiomyopathy cardiomyocyte RNA-seq; suppfile: CSV; bioproject: PRJNA1395596; screened_with_gds_summary
GSE312730,NCBI GEO/GDS,Simtuzumab Attenuates Loxl2-Mediated Extracellular Matrix Remodeling and Preserves Cardiac Function in LMNA Mutation-Induced Dilated Cardiomyopathy,Homo sapiens,heart failure,,human iPSC-derived cardiomyocytes,Expression profiling by high throughput sequencing,GPL30173,6,,,yes,no,yes,PMID:41841259,2026,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE312nnn/GSE312730/,maybe_secondary,2,cardiac/cardiomyopathy relevance; processed supplementary table likely available,Entrez UID: 200312730; matched_queries: human cardiomyopathy cardiomyocyte RNA-seq; suppfile: XLSX; bioproject: PRJNA1375789; screened_with_gds_summary
GSE309795,NCBI GEO/GDS,Multiscale profiling of tyrosine kinase inhibitor cardiotoxicity reveals mechanosensitive ion channel PIEZO1 as cardioprotective [bulk RNA-seq],Homo sapiens,heart failure,,human iPSC-derived cardiomyocytes,Expression profiling by high throughput sequencing,GPL24676,72,,,yes,no,yes,PMID:41406242,2025,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE309nnn/GSE309795/,maybe_secondary,2,cardiac/cardiomyopathy relevance; processed supplementary table likely available,Entrez UID: 200309795; matched_queries: heart failure cardiomyocyte single nucleus RNA-seq; suppfile: CSV; bioproject: PRJNA1363194; screened_with_gds_summary
GSE305550,NCBI GEO/GDS,Establishment of human Leber’s hereditary optic neuropathy model using iPSC-derived retinal organoids,Homo sapiens,mitochondrial disease,,human iPSC-derived organoid model,Expression profiling by high throughput sequencing,GPL24676,6,,,yes,no,yes,PMID:41019299,2025,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE305nnn/GSE305550/,maybe_secondary,2,uses iPSC-related model; processed supplementary table likely available,Entrez UID: 200305550; matched_queries: mitochondrial disease iPSC RNA-seq | mtDNA mutation iPSC RNA-seq; suppfile: TXT; bioproject: PRJNA1306489; screened_with_gds_summary
GSE302553,NCBI GEO/GDS,Pathogenetic mechanisms of muscle-specific ribosomes in dilated cardiomyopathy (AC16 RNA-seq),Homo sapiens,heart failure,,human cardiomyocytes,Expression profiling by high throughput sequencing,GPL24676,42,,,yes,no,yes,PMID:41495453,2025,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE302nnn/GSE302553/,maybe_secondary,2,cardiac/cardiomyopathy relevance; processed supplementary table likely available,Entrez UID: 200302553; matched_queries: human cardiomyopathy cardiomyocyte RNA-seq; suppfile: TXT; bioproject: PRJNA1291178; screened_with_gds_summary
GSE283426,NCBI GEO/GDS,A gene regulatory element modulates myosin expression and alters cellular response to stress [RNA-seq],Homo sapiens,heart failure,,human cardiomyocytes,Expression profiling by high throughput sequencing,GPL24676,6,,,yes,no,yes,PMID:41125440,2025,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE283nnn/GSE283426/,maybe_secondary,2,cardiac/cardiomyopathy relevance; processed supplementary table likely available,Entrez UID: 200283426; matched_queries: human cardiomyopathy cardiomyocyte RNA-seq; suppfile: TXT; bioproject: PRJNA1193622; screened_with_gds_summary
GSE280050,NCBI GEO/GDS,Senolytics rejuvenate aging cardiomyopathy in human cardiac organoids,Homo sapiens,cardiomyopathy,,human iPSC-derived cardiomyocytes,Expression profiling by high throughput sequencing,GPL24676,15,,,yes,no,yes,PMID:40670263,2026,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE280nnn/GSE280050/,maybe_secondary,2,cardiac/cardiomyopathy relevance; processed supplementary table likely available,Entrez UID: 200280050; matched_queries: human cardiomyopathy cardiomyocyte RNA-seq; suppfile: TXT; bioproject: PRJNA1176030; screened_with_gds_summary
GSE255504,NCBI GEO/GDS,CRISPR screening using Human PSC-derived cardiomyocytes reveals TAOK1 as a potential therapeutic target for doxorubicin-induced cardiomyopathy I,Homo sapiens,cardiomyopathy,,human cardiomyocytes,Expression profiling by high throughput sequencing,GPL24676,6,,,yes,no,yes,,2026,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE255nnn/GSE255504/,maybe_secondary,2,cardiac/cardiomyopathy relevance; processed supplementary table likely available,Entrez UID: 200255504; matched_queries: human cardiomyopathy cardiomyocyte RNA-seq; suppfile: TXT; bioproject: PRJNA1075126; screened_with_gds_summary
GSE254537,NCBI GEO/GDS,Inhibition of CXCL10 and IFN-γ ameliorates myocarditis in preclinical models of SARS-CoV- 2 mRNA vaccination,Homo sapiens,cardiomyopathy,,human iPSC-derived cardiomyocytes,Expression profiling by high throughput sequencing,GPL24676,24,,,yes,no,yes,PMID:41370400,2025,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE254nnn/GSE254537/,maybe_secondary,2,cardiac/cardiomyopathy relevance; processed supplementary table likely available,Entrez UID: 200254537; matched_queries: human cardiomyopathy cardiomyocyte RNA-seq; suppfile: CSV; bioproject: PRJNA1070999; screened_with_gds_summary
GSE244886,NCBI GEO/GDS,RNA-seq data for edited and unedited GAA repeats in FRDA patient iPSC-derived neurons,Homo sapiens,Friedreich ataxia / frataxin-related mitochondrial disease,FXN / frataxin,human iPSC-derived neurons / neural cells,Expression profiling by high throughput sequencing,GPL24676,28,,,yes,no,yes,PMID:38420191,2024,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE244nnn/GSE244886/,maybe_secondary,2,uses iPSC-related model; processed supplementary table likely available,Entrez UID: 200244886; matched_queries: mitochondrial disease iPSC RNA-seq; suppfile: TXT; bioproject: PRJNA1025300; screened_with_gds_summary
GSE213539,NCBI GEO/GDS,EPAS1 directs a network of genes implicated in mitochondrial dysfunction in arrhythmogenic cardiomyopathy [RNA-seq],Homo sapiens,dilated cardiomyopathy,,human cardiomyocytes,Expression profiling by high throughput sequencing,GPL18573,8,,,yes,no,yes,PMID:40034852,2025,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE213nnn/GSE213539/,maybe_secondary,2,cardiac/cardiomyopathy relevance; processed supplementary table likely available,Entrez UID: 200213539; matched_queries: mitochondrial dysfunction cardiomyocyte RNA-seq | human cardiomyopathy cardiomyocyte RNA-seq; suppfile: TXT; bioproject: PRJNA881313; screened_with_gds_summary
GSE200907,NCBI GEO/GDS,A non-synonymous SNP in SIRT6 predicts neurological severity in Friedreich ataxia,Homo sapiens,Friedreich ataxia / frataxin-related mitochondrial disease,FXN / frataxin,human iPSC-derived cells,Expression profiling by high throughput sequencing,GPL18573,20,,,yes,no,yes,PMID:36133907,2022,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE200nnn/GSE200907/,maybe_secondary,2,uses iPSC-related model; processed supplementary table likely available,"Entrez UID: 200200907; matched_queries: mitochondrial disorder iPSC transcriptome; suppfile: CSV, TSV; bioproject: PRJNA827169; screened_with_gds_summary"
GSE190977,NCBI GEO/GDS,TEAD1 trapping by the Q353R-Lamin A/C causes dilated cardiomyopathy.,Mus musculus; Homo sapiens,dilated cardiomyopathy,,human cardiomyocytes,Expression profiling by high throughput sequencing; Genome binding/occupancy profiling by high throughput sequencing,16791;24247;24676,30,,,yes,no,yes,PMID:37058558,2023,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE190nnn/GSE190977/,maybe_secondary,2,cardiac/cardiomyopathy relevance; processed supplementary table likely available,"Entrez UID: 200190977; matched_queries: dilated cardiomyopathy single nucleus RNA-seq human heart; suppfile: BW, CSV, H5, MTX, TSV; bioproject: PRJNA789236; screened_with_gds_summary"
GSE165838,NCBI GEO/GDS,Cardiac cell type-specific gene regulatory programs and disease risk association [RNA-seq],Homo sapiens,heart failure,,human cardiomyocytes,Expression profiling by high throughput sequencing,GPL18573,7,,,yes,no,yes,,2021,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE165nnn/GSE165838/,maybe_secondary,2,cardiac/cardiomyopathy relevance; processed supplementary table likely available,"Entrez UID: 200165838; matched_queries: heart failure cardiomyocyte single nucleus RNA-seq; suppfile: MTX, TSV, TXT; bioproject: PRJNA698274; screened_with_gds_summary"
GSE154825,NCBI GEO/GDS,Sonlicromanol improves neuronal network dysfunction and transcriptome changes linked to m.3243A>G heteroplasmy in iPSC-derived neurons,Homo sapiens,MELAS / m.3243A>G mitochondrial disease,m.3243A>G; MT-TL1,human iPSC-derived neurons / neural cells,Expression profiling by high throughput sequencing,GPL18573,16,,,yes,no,yes,PMID:34329596,2021,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE154nnn/GSE154825/,maybe_secondary,2,uses iPSC-related model; processed supplementary table likely available,Entrez UID: 200154825; matched_queries: mitochondrial disorder iPSC transcriptome; suppfile: TXT; bioproject: PRJNA647799; screened_with_gds_summary
GSE152915,NCBI GEO/GDS,iPSC-derived 2D and 3D models of mitochondrial disease reveal early defects in neuronal morphogenesis and identify intervention strategies,Homo sapiens,mitochondrial disease,,human iPSC-derived neurons / neural cells,Expression profiling by high throughput sequencing,GPL18573,12,,,yes,no,yes,PMID:33771987; PMID:42009687,2021,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE152nnn/GSE152915/,maybe_secondary,2,uses iPSC-related model; processed supplementary table likely available,Entrez UID: 200152915; matched_queries: mitochondrial disease iPSC; suppfile: TXT; bioproject: PRJNA640922; screened_with_gds_summary; Step 4 dataset re-check candidate; not selected as primary without further confirmation
GSE127478,NCBI GEO/GDS,Mitochondrial 3243A > G mutation confers pro-atherogenic and pro-inflammatory properties in MELAS iPS derived endothelial cells,Homo sapiens,MELAS / m.3243A>G mitochondrial disease,,human iPSC-derived cells,Expression profiling by high throughput sequencing,GPL20301,6,,,yes,no,yes,PMID:31641105,2019,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE127nnn/GSE127478/,maybe_secondary,2,uses iPSC-related model; processed supplementary table likely available,Entrez UID: 200127478; matched_queries: mitochondrial disease iPSC; suppfile: XLSX; bioproject: PRJNA524862; screened_with_gds_summary; Step 4 dataset re-check candidate; not selected as primary without further confirmation
GSE126359,NCBI GEO/GDS,Defective metabolic programming impairs early neuronal morphogenesis in neural cultures and an organoid model of Leigh syndrome [rRNA-depleted RNA-seq],Homo sapiens,mitochondrial disease,,human iPSC-derived neurons / neural cells,Expression profiling by high throughput sequencing,GPL18573,12,,,yes,no,yes,PMID:33771987; PMID:42009687,2021,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE126nnn/GSE126359/,maybe_secondary,2,uses iPSC-related model; processed supplementary table likely available,Entrez UID: 200126359; matched_queries: mitochondrial disease iPSC RNA-seq; suppfile: TXT; bioproject: PRJNA521700; screened_with_gds_summary
